applicant_age,gender,province,monthly_income_npr,loan_amount_npr,loan_tenure_months,close_year,max_dpd_24m,overdue_count_12m,bounce_count_12m,restructure_count,dscr,emi_income_ratio,income_stability,avg_bank_balance_6m,income_cagr_2y,ltv_ratio,collateral_score,insurance_flag,active_loan_count,credit_history_months,hard_enquiry_6m,bank_tenure_months,product_count,avg_deposit_12m,bs_month_applied,festival_proximity,district_npa_rate,remittance_inflow_flag,defaulted
42,Female,Sudurpashchim,35300,255000,48,2022,0,0,0,0,1.8657,0.5199,0.7,118600.0,0.121,0.5227,0.5,0,2,41,2,3,2,119300.0,7,5,0.0171,0,0
27,Male,Madhesh,17800,173000,84,2022,18,3,4,0,2.0992,0.4827,0.4,31900.0,-0.0072,0.7206,0.6,0,4,5,1,14,2,76500.0,11,29,0.0149,1,1
34,Male,Karnali,23300,193000,120,2019,0,0,0,0,3.363,0.2932,1.0,500.0,0.1717,0.4475,0.8,1,1,55,1,96,2,500.0,5,7,0.0156,1,0
40,Male,Lumbini,50700,477000,120,2024,0,0,0,0,3.5,0.2473,1.0,96000.0,0.0383,0.5099,0.8,1,1,240,1,47,5,58800.0,3,29,0.0142,0,0
43,Male,Bagmati,73100,1292000,120,2021,0,0,0,0,3.1458,0.2948,0.7,228300.0,0.1697,0.6704,0.6,0,0,13,1,93,6,162100.0,2,55,0.0126,0,0
34,Female,Province No. 1,17500,72000,60,2022,20,6,4,1,2.2124,0.45,0.7,82300.0,0.1629,0.3777,0.6,1,2,181,1,65,6,114500.0,9,59,0.013,0,0
51,Female,Sudurpashchim,15100,102000,48,2018,4,0,1,0,2.8407,0.3435,0.7,104900.0,0.1333,0.5787,0.8,1,1,120,1,164,6,80500.0,8,39,0.0146,0,0
60,Male,Sudurpashchim,45600,326000,48,2019,0,0,0,0,2.1413,0.4386,0.7,16300.0,0.0683,0.2859,0.5,1,2,17,2,138,4,500.0,10,91,0.0174,1,0
40,Male,Bagmati,8000,121000,60,2023,0,0,0,0,1.9193,0.533,0.7,23600.0,-0.1072,0.7304,0.8,0,1,16,1,34,3,500.0,6,9,0.0111,0,0
47,Female,Madhesh,52100,320000,36,2021,0,0,0,0,3.5,0.2667,0.7,238500.0,0.0345,0.6528,0.5,0,0,62,0,1,5,261700.0,6,5,0.0145,1,0
29,Female,Gandaki,33800,413000,60,2021,9,1,0,0,2.4129,0.4067,0.4,27400.0,0.0181,0.5825,0.4,0,0,39,3,132,3,42300.0,4,30,0.0121,0,0
28,Male,Province No. 1,38600,342000,120,2020,0,0,0,0,3.2975,0.3173,0.7,500.0,0.1917,0.4961,0.6,1,1,1,1,24,1,500.0,6,17,0.0116,0,0
24,Male,Lumbini,57000,246000,24,2024,8,4,4,1,2.299,0.4045,0.7,126100.0,0.0347,0.2846,0.4,0,1,98,7,50,1,164000.0,12,54,0.0122,0,0
62,Male,Karnali,22700,446000,48,2022,0,0,0,0,0.8664,1.0773,1.0,110500.0,0.1204,0.6928,0.8,1,3,63,3,64,5,79400.0,12,37,0.0159,1,0
33,Male,Madhesh,47500,324000,60,2021,0,0,0,0,3.5,0.2167,1.0,245100.0,0.0616,0.3088,0.5,1,0,34,1,14,1,236900.0,5,7,0.0155,0,0
50,Male,Bagmati,17100,150000,120,2024,6,1,1,0,2.0581,0.5316,1.0,21100.0,0.0741,0.4565,0.4,0,2,240,0,32,4,34800.0,12,45,0.0119,0,0
47,Male,Madhesh,8000,146000,120,2022,0,0,0,0,2.0073,0.5547,0.7,22400.0,0.1099,0.3982,0.5,0,1,68,1,68,3,500.0,12,48,0.0157,0,0
