customer_id,days_since_last_txn,txn_count_90d,avg_txn_amount,monthly_volume,active_loan_count,max_fd_balance,qr_txn_count_30d,remittance_30d,age,occupation_type,district_code,true_persona
1,32,6,12447.234401822472,15888.16663474987,1,0.0,0,0.0,18,2,72,Micro Finance Rural
2,3,102,111242.41403829987,3054170.660711254,2,19091.502642747797,38,0.0,53,1,24,Active SME Borrower
3,11,11,41950.52633134792,99450.15199619965,1,117409.94142322242,10,106746.36757317255,25,4,37,NRN Remittance Active
4,3,123,57309.40996058087,2134790.6219930123,2,60312.22712679376,43,0.0,52,1,35,Active SME Borrower
5,2,195,87641.25554451959,1318886.1655757795,2,42143.05420268899,27,0.0,54,1,41,Active SME Borrower
6,3,8,2835.8501909550005,21971.461390122364,0,0.0,0,0.0,46,2,17,Micro Finance Rural
7,17,16,137191.012375231,690003.1657339291,1,1221647.3711976756,3,0.0,34,0,47,High-Value Depositor
8,18,4,11915.176577058339,22670.799332330513,1,0.0,0,8329.35011687883,37,2,19,Micro Finance Rural
9,25,6,7530.194627952458,9649.159923078012,1,0.0,0,11214.24602884578,36,2,16,Micro Finance Rural
10,14,0,169896.35249734044,230390.57761196658,0,4731498.911027748,0,0.0,42,0,26,High-Value Depositor
11,8,25,33416.20393675206,194652.79633555183,1,84797.94504233418,6,60086.62261319985,28,0,19,NRN Remittance Active
12,52,0,9485.162308819228,11128.377266182995,1,0.0,0,980.8506796924858,42,2,12,Micro Finance Rural
13,27,4,3830.832896748103,12591.342197552656,0,0.0,0,2594.791744151979,26,2,19,Micro Finance Rural
14,20,0,10130.76679099632,6979.762545084281,0,0.0,0,10433.70398355993,40,2,8,Micro Finance Rural
15,0,161,63995.34013808458,3122053.6579598277,2,46557.97420174076,47,0.0,45,1,40,Active SME Borrower
16,1,1,9680.597589394549,13245.865829524359,1,0.0,0,10747.091057586204,44,2,12,Micro Finance Rural
17,21,5,89839.95723054279,131241.28330385085,0,3721294.9456851482,2,0.0,42,1,4,High-Value Depositor
18,167,0,1127.3663634330578,118.73744670308722,0,0.0,0,0.0,49,2,42,Dormant At-Risk
19,11,2,11553.479140199604,18449.29771876721,0,0.0,0,2662.321792567795,42,2,64,Micro Finance Rural
20,2,72,1149.7609627387287,47569.779764761974,0,0.0,44,0.0,20,3,64,QR Digital-First Youth
21,294,1,171.3515219289613,0.0,0,0.0,0,0.0,23,2,7,Dormant At-Risk
22,6,38,60432.73730414391,179904.61363887272,1,131368.6335093711,10,54611.76247932385,31,4,47,NRN Remittance Active
23,0,166,60503.37029101783,2824954.950213006,2,38657.19855359183,45,0.0,35,1,37,Active SME Borrower
24,257,0,251.13195596324357,21.062052129816756,0,0.0,0,0.0,29,1,19,Dormant At-Risk
25,5,152,72805.10040566449,3274217.3318813606,1,75010.78661848723,57,0.0,48,1,63,Active SME Borrower
26,200,1,100.0,541.0416375238663,0,0.0,0,0.0,36,2,57,Dormant At-Risk
27,6,25,40439.02112901363,128096.06759482317,1,154588.17454583218,6,101128.23524523518,50,4,11,NRN Remittance Active
28,1,112,1223.1204711977248,37197.842506848654,0,0.0,49,0.0,25,3,47,QR Digital-First Youth
29,23,0,16204.05516255398,10779.837885243622,0,0.0,0,5495.604131992849,51,2,45,Micro Finance Rural
30,0,89,100.0,38591.31958399021,0,0.0,63,0.0,27,3,38,QR Digital-First Youth
31,20,15,299262.9501301705,570295.9800704403,0,2768593.5810442977,0,0.0,40,1,4,High-Value Depositor
32,2,30,51539.19485849005,184921.63910314877,1,77166.62050476368,4,63951.16146771156,41,0,68,NRN Remittance Active
33,0,178,87514.80992688648,3303731.048795831,2,39919.55932892089,24,0.0,46,1,54,Active SME Borrower
34,0,70,51262.66693127758,3076743.0876091477,3,40813.96705484485,1,0.0,45,1,30,Active SME Borrower
35,1,97,2380.011938495237,39579.12208944746,0,0.0,46,0.0,18,0,22,QR Digital-First Youth
36,1,144,105350.7637042952,2939180.1698765475,2,84068.61903059919,29,0.0,40,1,20,Active SME Borrower
37,55,5,7286.243074655916,15376.758360094733,0,0.0,0,7127.501140124497,52,2,7,Micro Finance Rural
38,24,0,108408.88958847776,186428.1149269088,0,1266898.6949851448,0,0.0,43,1,41,High-Value Depositor
39,0,57,84338.48775579248,3681880.186041911,1,0.0,43,0.0,37,1,42,Active SME Borrower
