applicant_age,gender,province,monthly_income_npr,loan_amount_npr,loan_tenure_months,max_dpd_24m,overdue_count_12m,bounce_count_12m,restructure_count,dscr,emi_income_ratio,income_stability,avg_bank_balance_6m,income_cagr_2y,ltv_ratio,collateral_score,insurance_flag,active_loan_count,credit_history_months,hard_enquiry_6m,bank_tenure_months,product_count,avg_deposit_12m,bs_month_applied,festival_proximity,district_npa_rate,remittance_inflow_flag,defaulted
42,Female,Sudurpashchim,35300,255000,48,0,0,0,0,2.2446,0.429,0.7,93700.0,0.1774,0.2965,0.5,0,2,22,1,201,2,37300.0,8,33,0.0153,1,0
27,Male,Madhesh,17800,173000,84,0,0,0,0,1.6314,0.5954,0.4,88800.0,0.1118,0.7096,0.6,0,2,0,2,108,4,109600.0,6,15,0.0134,1,0
34,Male,Karnali,23300,193000,120,0,0,0,0,2.4869,0.4395,1.0,500.0,0.1114,0.4973,0.8,1,3,151,2,21,4,49100.0,1,51,0.0153,1,0
40,Male,Lumbini,50700,477000,120,10,4,2,0,2.6657,0.3772,1.0,196800.0,0.127,0.5228,0.8,0,1,21,1,5,6,272200.0,5,28,0.0129,1,0
43,Male,Bagmati,73100,1292000,120,0,0,0,0,1.7444,0.5356,0.7,153300.0,-0.0094,0.2869,0.6,1,2,108,2,93,2,140100.0,3,15,0.0136,0,0
34,Female,Province No. 1,17500,72000,60,39,0,0,0,3.5,0.1086,0.7,500.0,0.0119,0.412,0.6,1,0,1,1,192,4,500.0,2,60,0.014,0,0
51,Female,Sudurpashchim,15100,102000,48,0,0,0,0,3.5,0.2021,0.7,40400.0,0.1425,0.3985,0.8,1,0,79,0,29,2,11600.0,8,29,0.0151,0,0
60,Male,Sudurpashchim,45600,326000,48,0,0,0,0,3.5,0.2661,0.7,141800.0,0.0643,0.6599,0.5,0,0,134,1,6,5,115200.0,6,13,0.0171,1,0
40,Male,Bagmati,8000,121000,60,14,3,1,0,1.9636,0.5306,0.7,53500.0,0.1347,0.5192,0.8,1,1,61,1,36,5,63000.0,4,23,0.0118,0,1
47,Female,Madhesh,52100,320000,36,0,0,0,0,1.9824,0.5087,0.7,465300.0,0.1791,0.6601,0.5,1,2,80,4,70,6,610900.0,10,91,0.0139,0,0
29,Female,Gandaki,33800,413000,60,0,0,0,0,1.4658,0.6516,0.4,500.0,0.0819,0.7954,0.4,0,2,87,1,118,4,500.0,12,41,0.0127,0,0
28,Male,Province No. 1,38600,342000,120,0,0,0,0,2.5384,0.3832,0.7,192600.0,-0.0636,0.3372,0.6,0,1,19,0,36,6,221100.0,11,22,0.0132,0,0
24,Male,Lumbini,57000,246000,24,10,4,1,0,1.2952,0.7795,0.7,29500.0,0.0337,0.7925,0.4,1,3,8,1,14,2,66700.0,8,29,0.0149,0,1
62,Male,Karnali,22700,446000,48,56,6,5,0,1.4907,0.6812,1.0,98700.0,0.0908,0.3893,0.8,1,0,240,1,13,4,87200.0,4,15,0.0161,0,1
33,Male,Madhesh,47500,324000,60,0,0,0,0,3.5,0.2861,1.0,158900.0,0.0343,0.7653,0.5,0,1,75,1,3,2,129200.0,8,33,0.0146,0,0
50,Male,Bagmati,17100,150000,120,36,3,4,0,1.7576,0.5424,1.0,500.0,0.1249,0.3907,0.4,0,2,177,1,76,5,500.0,2,36,0.0111,0,1
47,Male,Madhesh,8000,146000,120,4,4,1,0,1.9549,0.4981,0.7,500.0,0.1886,0.7323,0.5,1,1,41,0,8,6,500.0,10,75,0.0133,1,0
26,Male,Bagmati,74000,543000,48,14,1,0,0,1.396,0.7288,0.7,317400.0,0.2104,0.7733,0.8,0,3,5,2,96,3,422800.0,11,31,0.0142,0,1
27,Male,Karnali,23000,226000,84,0,0,0,0,1.6837,0.6232,1.0,500.0,0.1022,0.4834,0.8,1,2,9,0,8,2,500.0,1,57,0.0158,1,0
54,Male,Lumbini,63400,447000,36,0,0,0,0,1.3186,0.7294,0.7,518000.0,0.0673,0.2486,0.8,1,3,58,1,235,2,324700.0,9,58,0.0138,0,0
54,Male,Sudurpashchim,29300,145000,120,0,0,1,0,3.5,0.0994,1.0,33600.0,0.0863,0.4464,0.4,1,0,215,1,52,1,4700.0,6,18,0.015,0,0
44,Female,Gandaki,60100,521000,48,0,0,0,1,3.0724,0.3358,1.0,90300.0,0.1811,0.5809,0.8,0,0,166,1,88,4,91200.0,6,2,0.0121,0,0
35,Male,Province No. 1,33300,157000,24,41,2,0,0,2.157,0.4747,0.4,266000.0,0.0387,0.3517,0.6,0,1,11,0,142,4,294300.0,3,28,0.0147,1,1
37,Male,Province No. 1,40900,390000,48,4,1,0,0,1.998,0.4953,1.0,7700.0,0.0442,0.3717,0.6,0,1,118,1,66,6,66900.0,8,28,0.0132,0,0
54,Male,Sudurpashchim,36900,237000,36,0,0,0,0,2.7253,0.356,1.0,308500.0,0.0693,0.5036,0.6,0,1,240,1,16,3,299100.0,2,59,0.0157,0,0
29,Male,Bagmati,37400,187000,12,0,0,0,0,1.1562,0.8545,1.0,44100.0,0.1036,0.3639,0.6,1,2,14,4,6,2,66100.0,1,66,0.0114,0,0
24,Male,Madhesh,8000,50000,24,11,6,5,0,1.0391,0.9277,1.0,57500.0,0.0874,0.6142,0.6,1,3,8,3,72,2,13800.0,9,60,0.0143,0,1
32,Male,Bagmati,65700,295000,48,74,1,1,0,1.6394,0.5705,0.7,56300.0,0.1515,0.7306,0.6,1,3,56,1,103,5,48600.0,10,66,0.012,0,0
28,Male,Bagmati,55200,333000,48,11,4,3,0,3.5,0.2375,0.4,202400.0,-0.057,0.5983,0.6,1,0,7,4,27,2,111400.0,6,1,0.0116,1,0
28,Male,Lumbini,28800,163000,36,12,2,1,0,1.6219,0.5927,0.7,519500.0,0.0952,0.4484,0.6,1,2,79,3,120,5,511100.0,11,37,0.0143,1,0
40,Male,Sudurpashchim,41100,274000,36,0,0,0,0,2.2151,0.504,0.7,84800.0,0.2974,0.5598,0.6,0,1,50,1,22,2,106500.0,4,31,0.0144,0,0
54,Male,Province No. 1,27600,245000,60,15,3,2,0,1.9198,0.5189,1.0,114100.0,0.088,0.5777,0.6,1,1,174,1,19,3,58100.0,10,68,0.0127,1,0
50,Male,Gandaki,48100,259000,84,3,2,1,0,2.6885,0.3785,0.7,477500.0,0.0441,0.8145,0.5,0,3,36,2,24,2,400400.0,9,60,0.0116,0,0
32,Other,Gandaki,54700,462000,60,9,0,0,0,2.1694,0.4622,1.0,298600.0,0.1454,0.7141,0.6,0,2,91,0,30,5,260600.0,1,55,0.0129,0,0
38,Male,Madhesh,31300,214000,120,0,0,0,0,3.5,0.2553,1.0,107400.0,0.0927,0.4719,0.6,1,1,98,2,47,2,76600.0,4,18,0.0135,0,0
40,Female,Bagmati,89500,647000,84,0,0,0,0,3.5,0.2506,0.7,704600.0,-0.0122,0.7257,0.8,1,1,74,2,41,5,840500.0,6,0,0.0133,0,0
37,Male,Bagmati,8000,90000,120,0,0,0,0,2.1112,0.4205,1.0,35300.0,0.1176,0.4278,1.0,1,2,48,0,82,6,7100.0,8,25,0.0113,0,0
61,Female,Madhesh,45800,286000,60,0,0,0,0,2.9981,0.3586,1.0,240000.0,0.0806,0.527,0.5,0,1,240,0,19,3,137100.0,5,23,0.0149,0,0
60,Male,Bagmati,94200,662000,60,0,0,0,0,2.0933,0.5118,1.0,306800.0,0.0848,0.632,0.5,0,2,35,3,11,2,180800.0,2,45,0.0135,0,0
62,Male,Lumbini,36000,613000,120,12,5,3,0,1.6767,0.6318,0.7,198900.0,0.0745,0.3234,0.8,1,2,196,3,24,4,220600.0,10,85,0.0142,0,0
38,Female,Madhesh,73600,335000,24,0,0,0,0,3.3386,0.286,1.0,327300.0,0.078,0.5123,0.6,1,0,72,1,31,4,306000.0,9,46,0.0148,1,0
54,Male,Karnali,19800,276000,12,10,0,0,0,0.5,2.3851,1.0,35700.0,-0.0522,0.5109,0.6,0,2,240,1,40,3,10600.0,5,23,0.0149,0,1
51,Female,Lumbini,47500,200000,84,44,2,1,0,3.5,0.0896,0.7,80200.0,-0.0259,0.3465,0.5,0,0,163,1,81,3,48400.0,5,1,0.0128,0,0
54,Male,Gandaki,34800,399000,120,0,0,0,0,2.2025,0.4173,1.0,107600.0,0.1301,0.614,0.8,1,2,120,2,1,5,143700.0,1,46,0.0124,0,0
27,Female,Karnali,16800,118000,48,0,0,0,0,1.7391,0.5743,0.4,42100.0,0.0085,0.3657,0.4,0,2,6,0,108,4,35800.0,4,31,0.0154,1,0
60,Female,Karnali,36600,327000,24,0,0,0,0,1.7062,0.6012,1.0,524700.0,0.0916,0.6582,1.0,1,0,79,0,24,1,503800.0,6,12,0.0148,1,0
60,Male,Gandaki,90500,939000,48,102,2,3,0,1.3173,0.7665,0.7,169800.0,0.1039,0.7866,0.4,0,2,240,5,9,4,75400.0,6,18,0.0119,0,1
54,Female,Gandaki,48400,621000,60,5,3,0,0,1.2235,0.8247,0.4,257700.0,0.0157,0.6752,1.0,1,2,38,2,70,2,279200.0,5,2,0.0112,0,0
45,Male,Lumbini,38200,230000,24,0,0,0,0,1.2069,0.8672,0.7,61700.0,-0.0127,0.3021,0.6,0,5,24,8,124,6,27500.0,7,3,0.0137,0,1
39,Female,Bagmati,150000,1000000,60,0,0,0,0,1.7027,0.5974,0.7,54100.0,0.2383,0.5176,0.8,0,2,127,2,75,3,122900.0,12,59,0.0122,0,0
31,Male,Bagmati,68100,566000,24,37,2,1,0,1.0087,1.0621,1.0,500.0,0.1636,0.6738,0.8,1,3,66,2,105,3,500.0,12,47,0.0111,0,1
23,Male,Bagmati,31800,348000,60,29,1,0,0,1.385,0.7681,0.7,152900.0,0.0301,0.773,0.4,0,4,2,3,60,1,99100.0,6,4,0.011,0,1
61,Male,Sudurpashchim,17700,118000,24,0,0,0,0,1.4011,0.7225,0.4,57900.0,-0.0455,0.4623,0.6,0,3,208,3,29,4,114900.0,11,37,0.0155,1,1
29,Female,Lumbini,47100,320000,48,0,0,0,0,2.5152,0.3781,0.7,393100.0,0.0289,0.5929,0.8,1,1,63,2,16,3,512800.0,4,11,0.0143,0,0
35,Female,Lumbini,19000,160000,12,6,1,1,0,1.1199,0.9847,0.4,500.0,-0.2,0.692,0.4,1,0,14,1,24,1,500.0,2,36,0.0129,1,1
39,Male,Sudurpashchim,34900,208000,36,21,4,0,0,2.3351,0.4787,0.7,26400.0,0.3277,0.6918,0.8,1,1,240,2,1,3,36200.0,1,69,0.0145,0,1
49,Male,Madhesh,49000,244000,48,0,0,1,1,3.5,0.1723,0.7,88400.0,0.0966,0.5925,1.0,1,0,240,2,21,1,51800.0,10,86,0.0138,0,0
32,Male,Madhesh,37200,350000,84,0,0,0,0,3.0327,0.3182,1.0,131500.0,0.0857,0.7857,1.0,1,1,37,0,140,3,125100.0,7,11,0.0156,0,0
30,Female,Bagmati,108600,964000,60,0,0,0,0,3.5,0.262,0.7,86800.0,0.0157,0.8092,0.6,1,0,8,0,1,4,101200.0,12,57,0.012,0,0
34,Male,Bagmati,41100,375000,60,0,0,0,0,3.5,0.2834,0.4,43200.0,0.0041,0.6688,0.4,0,0,87,1,36,1,109400.0,7,2,0.0112,0,0
34,Male,Lumbini,31100,434000,48,7,2,2,0,1.7939,0.6136,0.7,257400.0,0.2064,0.3948,1.0,0,1,188,1,53,1,203900.0,5,24,0.0132,1,0
23,Female,Madhesh,8800,110000,48,0,0,0,0,1.0167,0.8961,1.0,24600.0,0.0868,0.4638,0.5,0,3,2,1,22,6,30900.0,12,45,0.015,0,0
37,Other,Madhesh,36800,107000,48,0,0,0,0,2.5329,0.4111,0.7,29800.0,0.0882,0.49,0.8,1,2,230,1,17,4,79600.0,4,12,0.0153,0,0
44,Male,Sudurpashchim,35100,258000,12,0,0,0,1,0.9806,1.195,0.7,63700.0,0.2032,0.5526,0.8,1,1,34,1,28,4,24100.0,9,52,0.0149,0,1
39,Male,Lumbini,25100,150000,60,0,0,0,0,3.5,0.2177,0.4,43400.0,-0.0233,0.33,0.5,0,0,61,0,44,1,28700.0,12,56,0.0136,0,0
35,Female,Madhesh,8000,50000,12,0,0,0,0,1.0984,0.928,1.0,48200.0,0.0752,0.6024,0.5,0,1,31,2,143,6,51100.0,4,13,0.0136,0,0
59,Male,Madhesh,17700,216000,36,0,0,0,0,0.8145,1.1743,1.0,70000.0,0.0452,0.5612,0.6,1,3,59,2,41,6,28700.0,8,54,0.0145,0,1
31,Male,Gandaki,59600,408000,36,0,0,0,1,1.0984,0.7717,1.0,23200.0,0.0722,0.39,0.8,1,3,21,1,69,5,16400.0,8,35,0.0132,1,0
56,Other,Bagmati,31700,167000,120,0,0,0,0,3.4807,0.3031,1.0,69500.0,0.0117,0.7173,1.0,1,1,158,2,194,4,69200.0,1,64,0.0115,0,0
46,Male,Madhesh,23900,159000,120,12,6,7,0,3.4264,0.2951,0.4,48700.0,0.1893,0.7294,0.5,1,1,240,0,19,1,500.0,7,2,0.0149,1,0
48,Male,Bagmati,53500,485000,120,12,4,2,0,2.3876,0.4141,1.0,107600.0,0.0386,0.3821,0.6,0,2,147,1,8,4,128600.0,7,0,0.0131,0,1
32,Male,Gandaki,36000,323000,60,8,0,0,0,1.7287,0.5821,0.7,500.0,0.1377,0.3393,0.6,1,2,240,0,9,2,17100.0,5,26,0.0121,0,1
61,Female,Karnali,25600,293000,48,0,0,0,1,1.9309,0.5479,1.0,251300.0,0.0294,0.7646,0.8,1,1,240,1,25,5,198500.0,5,29,0.0169,1,0
