customer_id,amount,amount_log,hour_of_day,day_of_week,days_since_last_txn,amount_vs_30d_avg,amount_vs_peers,txn_count_1h,txn_count_24h,amount_sum_24h,unique_merchants_7d,channel_encoded,location_change_flag,amount_round_flag,fraud_flag,attack_type
221,7082.32,8.86549800332974,13,2,10.0,0.59,1.1,1,3,8188.2802025675155,1,0,0,0,0,None
2,1684.8,7.4299955075633815,13,2,9.0,0.94,0.61,1,2,6447.284384409878,1,0,0,0,0,None
385,1288.51,7.162017580235107,13,1,9.8,0.61,0.63,1,1,4714.094232144187,3,2,0,0,0,None
270,866.76,6.765915178731962,9,1,4.4,1.4,1.61,0,1,4065.9870654516335,1,2,0,0,0,None
308,938.8,6.8456670866687155,8,5,1.8,0.6,1.83,1,2,5906.89218378178,5,2,0,0,0,None
262,5041.97,8.525750473219055,11,1,4.4,0.98,1.03,0,2,10031.648285493673,1,1,0,0,0,None
191,9472.5,9.156253706072416,16,6,10.3,1.4,1.41,0,3,10723.926540701033,3,2,0,0,0,None
361,1863.97,7.531000246157653,6,2,10.5,0.64,1.6,0,3,4271.634543455009,3,0,0,0,0,None
298,1577.7,7.364357002537681,13,5,6.2,0.96,1.64,1,1,1680.255975421484,2,2,0,0,0,None
45,660.19,6.4940412418155615,13,4,13.0,1.36,1.09,0,2,763.6712632888805,2,2,0,0,0,None
106,4060.9,8.309406123422718,10,0,9.9,0.58,1.47,0,1,6642.263462113842,5,2,0,0,0,None
322,550.47,6.31258744011516,10,6,11.8,0.62,1.61,0,1,3003.1164800346505,2,2,0,0,0,None
317,245.61,5.50780814140846,9,0,8.0,1.06,0.75,1,1,648.0422429904154,2,1,0,0,0,None
298,185.52,5.22853847194012,15,1,9.7,1.42,0.95,1,1,2316.4726069302174,1,2,0,0,0,None
374,1267.61,7.145677091874073,8,5,13.2,0.66,1.17,1,2,5130.173285650083,3,2,0,0,0,None
314,592.34,6.385767590509954,9,3,11.8,1.14,1.63,0,3,4959.206713644318,5,2,0,0,0,None
314,742.93,6.6119469443852195,17,2,1.9,1.16,0.93,0,3,4547.682264409889,5,2,0,0,0,None
331,12821.69,9.458971536856899,8,5,1.8,0.72,1.54,1,2,16786.354340661586,3,2,0,0,0,None
56,6550.34,8.787424887858304,11,2,12.3,1.19,2.0,1,1,10208.424985389185,1,0,0,0,0,None
109,3673.23,8.209098865884233,8,1,7.3,0.76,0.53,1,3,6532.872214888178,1,3,1,0,0,None
379,867.86,6.767182007568566,12,3,0.9,0.76,1.03,1,1,5517.422469957701,2,2,0,0,0,None
433,2461.95,7.809115097467871,14,6,1.5,0.52,1.36,1,2,4691.5292184536065,1,2,0,0,0,None
123,259.51,5.562641248172563,10,4,5.2,1.41,1.22,0,2,2429.2688482424237,3,2,0,0,0,None
251,1369.7,7.223076837237335,13,1,2.7,1.02,1.44,1,3,3110.8790957239094,4,2,0,0,0,None
113,1270.17,7.147693015195759,19,2,12.2,1.25,0.73,1,1,4178.488997539604,2,2,0,0,0,None
493,3916.48,8.2732038689204,14,5,14.3,0.58,1.4,1,2,7473.520907173674,4,2,0,0,0,None
157,1607.44,7.383020044149344,17,6,8.5,1.07,1.28,0,2,3515.292009319134,3,2,0,0,0,None
10,612.85,6.419750598626849,10,3,11.9,1.1,1.8,1,3,4972.782760034878,4,2,0,0,0,None
269,174.72,5.1688918191075786,13,6,4.8,1.0,1.72,1,3,421.34869635115103,2,0,0,0,0,None
27,1433.31,7.268439176317974,13,0,6.4,0.77,1.77,0,2,3195.0632335666432,2,2,1,0,0,None
178,6213.77,8.734683996019479,16,5,14.5,1.05,1.61,1,1,7924.675831294277,3,2,1,0,0,None
131,5543.54,8.620568938723817,16,3,6.4,1.05,1.6,0,1,9388.348898514807,1,2,0,0,0,None
35,1954.71,7.57850857784421,19,4,3.3,1.2,0.89,1,1,5379.94555263005,3,2,0,0,0,None
400,6271.17,8.743877666254757,14,2,12.2,1.12,0.79,1,3,6362.431006615573,2,2,0,0,0,None
410,3569.37,8.180424510859863,19,4,1.1,0.8,1.08,1,1,4154.951536359182,3,2,0,0,0,None
495,205.07,5.3282159168939,22,0,8.4,1.14,1.33,0,1,3594.547499855204,3,0,0,0,0,None
428,195.82,5.282289605470839,14,4,11.4,1.18,1.36,1,3,2607.7473875371325,1,1,0,0,0,None
192,2315.46,7.747795437278308,13,6,3.6,0.74,1.08,1,3,5065.790541539749,5,2,0,0,0,None
237,1862.3,7.530104388233367,13,4,1.9,0.64,0.99,0,3,5044.956365066095,2,1,0,0,0,None
216,8844.15,9.087624565183836,11,3,7.0,0.7,0.63,1,1,10384.776905738294,3,2,0,0,0,None
222,9916.64,9.202070268749651,8,4,14.4,1.08,1.76,1,3,13965.745847396585,5,2,0,0,0,None
479,1267.61,7.145677091874073,16,6,10.7,0.89,0.56,1,2,5636.437726986244,5,2,0,0,0,None
325,3955.2,8.283039247581975,7,2,10.9,1.29,0.61,0,2,7248.514842661591,5,3,0,0,0,None
91,1384.41,7.233751403694401,22,6,14.1,0.94,0.83,0,1,3697.872658616924,1,2,1,0,0,None
74,185475.82333230146,12.13068521161893,2,3,0.0,1.1605035284933407,1.2493484596332465,9,18,1854758.2333230146,10,2,1,0,1,Velocity
80,15759.8,9.665281123544872,13,6,4.0,1.12,0.72,0,1,19457.708150201215,3,1,0,0,0,None
322,1058.33,6.9653919117904985,11,3,14.1,1.16,0.78,0,2,2619.532629575362,5,3,0,0,0,None
